señor.	2
replicó	38
hiciese	4
don,	2
llamase	3
doña	4
Tolosa.	1
prometió;	1
calzó	1
espuela,	1
pasó	13
coloquio	1
espada.	3
Molinera,	2
honrado	3
molinero	1
Antequera;	1
rogó	7
ofreciéndole	2
nuevos	2
servicios	3
mercedes.	1
galope	2
aprisa	1
vistas	2
ceremonias,	1
hora	13
aventuras;	3
ensillando	1
abrazando	1
extrañas,	1
agradeciéndole	1
posible	8
acertar	2
referirlas.	1
breves	1
palabras,	1
costa	3
hora.	1
cuarto	3
De	26
La	15
alba	2
contento,	2
gallardo,	1
alborozado	1
gozo	1
reventaba	1
cinchas	4
caballo.	2
viniéndole	1
consejos	2
acerca	2
necesarias	1
consigo,	1
especial	1
camisas,	1
volver	11
